Industry,Theme,Title,Partner,Description Length,Length Category
Education,Institutional Innovation,greymatter Student Lifecycle CRM by Frequency Foundry,Frequency Foundry,3978,3K-5K
Education,Institutional Innovation,CDW,Unknown,519,<1K
Education,Institutional Innovation,Blackbaud Enterprise Fundraising CRM,Unknown,561,<1K
Education,Institutional Innovation,Higher Education Blueprint,Unknown,1995,1K-2K
Education,Institutional Innovation,PwC Digital Relationship Management Solution,Unknown,1111,1K-2K
Education,Institutional Innovation,NICE-20240419022414,Unknown,507,<1K
Education,Institutional Innovation,Nerdio Manager for Enterprise,Unknown,4097,3K-5K
Education,Institutional Innovation,PwC Total Professional Effort (TPE),Unknown,1691,1K-2K
Education,Institutional Innovation,Terawe Corporation ManageX,Unknown,518,<1K
Education,Institutional Innovation,AvePoint Inc ,Unknown,882,<1K
Education,Institutional Innovation,Dynamics 365 Customer Insights – Journeys (Marketing),Unknown,710,<1K
Education,Institutional Innovation,StarRez-20240130052344,Unknown,5655,>5K
Education,Institutional Innovation,Anthology Raise (Anthology-20240201080211),Unknown,565,<1K
Education,Institutional Innovation,X·CELERATE Insights,Unknown,1317,1K-2K
Education,Institutional Innovation,Anthology Engage (Anthology-20240201081550),Unknown,576,<1K
Education,Institutional Innovation,Profisee Master Data Management (MDM),Unknown,2150,2K-3K
Education,Institutional Innovation,Anthology Student,Unknown,930,<1K
Education,Institutional Innovation,StarRez-20240130052344,Unknown,5655,>5K
Education,Institutional Innovation,Mobile Mentor Mentoring Service,Unknown,1606,1K-2K
Education,Institutional Innovation,Elastic Search (Elasticsearch),Unknown,1398,1K-2K
Education,Institutional Innovation,AvePoint Inc ,Unknown,882,<1K
Education,Institutional Innovation,Nerdio Manager for Enterprise,Unknown,4097,3K-5K
Education,Institutional Innovation,Willow,Unknown,1783,1K-2K
Education,Institutional Innovation,Mobile Mentor-20240319104911,Unknown,1181,1K-2K
Education,Institutional Innovation,Nuventive Improvement Platform,Unknown,3554,3K-5K
Education,Institutional Innovation,Netrix Global,Unknown,1099,1K-2K
Education,Institutional Innovation,Cloud Unity Azure Virtual Classroom,Unknown,1737,1K-2K
Education,Institutional Innovation,SAS for Student Insights,Unknown,543,<1K
Education,Institutional Innovation,Territorium,Unknown,751,<1K
Education,Institutional Innovation,Terawe Corporation ManageX,Unknown,518,<1K
Education,Institutional Innovation,Anthology Finance and HCM,Unknown,805,<1K
Education,Institutional Innovation,Lambent Spaces,Unknown,2695,2K-3K
Education,Institutional Innovation,Blackbaud Raiser's Edge NXT,Unknown,532,<1K
Education,Institutional Innovation,greymatter Student Lifecycle CRM by Frequency Foundry,Frequency Foundry,3978,3K-5K
Education,Institutional Innovation,Azure NetApp Files,Unknown,617,<1K
Education,Institutional Innovation,Anthology Reach,Unknown,400,<1K
Education,Institutional Innovation,Spyglass Fabric Solution in 30 Days for Education,Unknown,662,<1K
Education,Institutional Innovation,CDW,Unknown,519,<1K
Education,Institutional Innovation,Commvault Cloud: Backup & Recovery (For Service Providers),Unknown,635,<1K
Education,Institutional Innovation,BlueVoyant-20240319060716,Unknown,912,<1K
Education,Institutional Innovation,Netrix Global,Unknown,1099,1K-2K
Education,Institutional Innovation,Commvault ,Unknown,324,<1K
Education,Institutional Innovation,CDW,Unknown,519,<1K
Education,Institutional Innovation,M365 Copilot Security Readiness,Unknown,4312,3K-5K
Education,Institutional Innovation,eGroup | Enabling Technologies Copilot for Microsoft 365 Launch Protocols,Unknown,973,<1K
Education,Institutional Innovation,Terawe Corporation ManageX,Unknown,518,<1K
Education,Institutional Innovation,Forsyte Guardian 365,Unknown,2229,2K-3K
Education,Institutional Innovation,Oxford Computer Group eduSOC,Unknown,2704,2K-3K
Education,Institutional Innovation,StarRez-20240130052344,Unknown,5655,>5K
Education,Institutional Innovation,Mobile Mentor-20240319104911,Unknown,1181,1K-2K
Education,Institutional Innovation,Mobile Mentor Mentoring Service,Unknown,1606,1K-2K
Education,Simplify and Secure IT,M365 Copilot Security Readiness,Unknown,4375,3K-5K
Education,Simplify and Secure IT,eGroup | Enabling Technologies Copilot for Microsoft 365 Launch Protocols,Unknown,973,<1K
Education,Simplify and Secure IT,BlueVoyant-20240319060716,Unknown,912,<1K
Education,Simplify and Secure IT,Mobile Mentor Mentoring Service,Unknown,1606,1K-2K
Education,Simplify and Secure IT,CIS Hardened Images,Unknown,939,<1K
Education,Simplify and Secure IT,Netrix Global Copilot for Microsoft 365 Workshop,Unknown,1099,1K-2K
Education,Simplify and Secure IT,Tanium Autonomous Endpoint Management,Unknown,1932,1K-2K
Education,Simplify and Secure IT,M365 Copilot Security Readiness,Unknown,4375,3K-5K
Education,Simplify and Secure IT,Elastic Search (Elasticsearch),Unknown,1301,1K-2K
Education,Simplify and Secure IT,DataArt New York,Unknown,3320,3K-5K
Education,Simplify and Secure IT,Terawe Corporation ManageX,Unknown,539,<1K
